train_acc,train_loss,train_precision,train_recall,train_f1,train_precision_window,train_recall_window,train_f1_window,val_acc,val_loss,val_precision,val_recall,val_f1,val_precision_window,val_recall_window,val_f1_window
0.9186,173.0058,0.8179,0.3978,0.8135,1.,0.7215,0.8374,0.9174,174.2739,0.8150,0.3915,0.8100,1.,0.7171,0.8345
0.9187,172.9974,0.8181,0.4017,0.8137,1.,0.7203,0.8366,0.9174,173.7103,0.8150,0.3915,0.8100,1.,0.7073,0.8278
0.9188,172.9648,0.8182,0.3987,0.8138,1.,0.7203,0.8366,0.9174,173.7199,0.8150,0.3915,0.8100,1.,0.7113,0.8305
0.9187,172.9556,0.8180,0.3998,0.8135,1.,0.7216,0.8375,0.9174,174.1977,0.8150,0.3915,0.8100,1.,0.7125,0.8313
0.9188,172.9716,0.8182,0.3986,0.8138,1.,0.7212,0.8373,0.9174,174.0022,0.8150,0.3915,0.8100,1.,0.7156,0.8335
0.9188,172.9522,0.8181,0.3960,0.8137,1.,0.7237,0.8389,0.9174,173.8699,0.8150,0.3915,0.8100,1.,0.7076,0.8280
0.9186,173.0576,0.8180,0.3994,0.8134,1.,0.7278,0.8415,0.9174,174.6883,0.8150,0.3915,0.8100,1.,0.7025,0.8244
0.9187,173.3971,0.8180,0.3975,0.8136,1.,0.7774,0.8736,0.9174,173.6619,0.8150,0.3915,0.8100,1.,0.7145,0.8327
0.9187,173.1600,0.8181,0.3966,0.8137,1.,0.7752,0.8723,0.9174,173.8595,0.8150,0.3915,0.8100,1.,0.7102,0.8299
0.9187,173.1220,0.8181,0.3983,0.8136,1.,0.7717,0.8701,0.9174,173.8542,0.8150,0.3915,0.8100,1.,0.7193,0.8359
0.9187,173.0956,0.8181,0.3980,0.8137,1.,0.7602,0.8626,0.9174,173.6896,0.8150,0.3915,0.8100,1.,0.7190,0.8357
0.9187,172.9791,0.8182,0.3988,0.8136,1.,0.7317,0.8442,0.9174,173.6983,0.8150,0.3915,0.8100,1.,0.7083,0.8285
